userId,movieId,rating,timestamp,title,genres
1,1,4.0,964982703,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,3,4.0,964981247,Grumpier Old Men (1995),Comedy|Romance
1,6,4.0,964982224,Heat (1995),Action|Crime|Thriller
1,47,5.0,964983815,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
1,50,5.0,964982931,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
1,70,3.0,964982400,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
1,110,4.0,964982176,Braveheart (1995),Action|Drama|War
1,163,5.0,964983650,Desperado (1995),Action|Romance|Western
1,223,3.0,964980985,Clerks (1994),Comedy
1,231,5.0,964981179,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
1,235,4.0,964980908,Ed Wood (1994),Comedy|Drama
1,260,5.0,964981680,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1,296,3.0,964982967,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
1,316,3.0,964982310,Stargate (1994),Action|Adventure|Sci-Fi
1,349,4.0,964982563,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
1,356,4.0,964980962,Forrest Gump (1994),Comedy|Drama|Romance|War
1,367,4.0,964981710,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
1,457,5.0,964981909,"Fugitive, The (1993)",Thriller
1,480,4.0,964982346,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
1,500,3.0,964981208,Mrs. Doubtfire (1993),Comedy|Drama
1,527,5.0,964984002,Schindler's List (1993),Drama|War
1,552,4.0,964982653,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
1,553,5.0,964984153,Tombstone (1993),Action|Drama|Western
1,590,4.0,964982546,Dances with Wolves (1990),Adventure|Drama|Western
1,592,4.0,964982271,Batman (1989),Action|Crime|Thriller
1,593,4.0,964983793,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
1,596,5.0,964982838,Pinocchio (1940),Animation|Children|Fantasy|Musical
1,608,5.0,964982931,Fargo (1996),Comedy|Crime|Drama|Thriller
1,648,3.0,964982563,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
1,673,3.0,964981775,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
1,733,4.0,964982400,"Rock, The (1996)",Action|Adventure|Thriller
1,736,3.0,964982653,Twister (1996),Action|Adventure|Romance|Thriller
1,780,3.0,964984086,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
1,919,5.0,964982475,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
1,923,5.0,964981529,Citizen Kane (1941),Drama|Mystery
1,1073,5.0,964981680,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
1,1080,5.0,964981327,Monty Python's Life of Brian (1979),Comedy
1,1089,5.0,964982951,Reservoir Dogs (1992),Crime|Mystery|Thriller
1,1090,4.0,964984018,Platoon (1986),Drama|War
1,1097,5.0,964981680,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
1,1127,4.0,964982513,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
1,1136,5.0,964981327,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
1,1196,5.0,964981827,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1,1197,5.0,964981872,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
1,1198,5.0,964981827,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
1,1206,5.0,964983737,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
1,1208,4.0,964983250,Apocalypse Now (1979),Action|Drama|War
1,1210,5.0,964980499,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
1,1213,5.0,964982951,Goodfellas (1990),Crime|Drama
1,1214,4.0,964981855,Alien (1979),Horror|Sci-Fi
1,1219,2.0,964983393,Psycho (1960),Crime|Horror
1,1220,5.0,964981909,"Blues Brothers, The (1980)",Action|Comedy|Musical
1,1222,5.0,964981909,Full Metal Jacket (1987),Drama|War
1,1240,5.0,964983723,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1,1258,3.0,964983414,"Shining, The (1980)",Horror
1,1265,4.0,964983599,Groundhog Day (1993),Comedy|Fantasy|Romance
1,1270,5.0,964983705,Back to the Future (1985),Adventure|Comedy|Sci-Fi
1,1278,5.0,964983414,Young Frankenstein (1974),Comedy|Fantasy
1,1282,5.0,964982703,Fantasia (1940),Animation|Children|Fantasy|Musical
1,1291,5.0,964981909,Indiana Jones and the Last Crusade (1989),Action|Adventure
1,1377,3.0,964982653,Batman Returns (1992),Action|Crime
1,1500,4.0,964980985,Grosse Pointe Blank (1997),Comedy|Crime|Romance
1,1517,5.0,964981107,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy
1,1552,4.0,964982620,Con Air (1997),Action|Adventure|Thriller
1,1573,5.0,964982290,Face/Off (1997),Action|Crime|Drama|Thriller
1,1580,3.0,964981125,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
1,1617,5.0,964982951,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
1,1625,5.0,964983504,"Game, The (1997)",Drama|Mystery|Thriller
1,1676,3.0,964982620,Starship Troopers (1997),Action|Sci-Fi
1,1732,5.0,964981125,"Big Lebowski, The (1998)",Comedy|Crime
1,1777,4.0,964981230,"Wedding Singer, The (1998)",Comedy|Romance
1,1954,5.0,964982176,Rocky (1976),Drama
1,2000,4.0,964982211,Lethal Weapon (1987),Action|Comedy|Crime|Drama
1,2005,5.0,964981710,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy
1,2012,4.0,964984176,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western
1,2028,4.0,964981888,Saving Private Ryan (1998),Action|Drama|War
1,2054,4.0,964981747,"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi
1,2078,5.0,964982838,"Jungle Book, The (1967)",Animation|Children|Comedy|Musical
1,2115,5.0,964982529,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
1,2174,4.0,964981680,Beetlejuice (1988),Comedy|Fantasy
1,2268,4.0,964982989,"Few Good Men, A (1992)",Crime|Drama|Thriller
1,2291,5.0,964983664,Edward Scissorhands (1990),Drama|Fantasy|Romance
1,2329,5.0,964983263,American History X (1998),Crime|Drama
1,2353,5.0,964983861,Enemy of the State (1998),Action|Thriller
1,2395,5.0,964981093,Rushmore (1998),Comedy|Drama
1,2406,4.0,964982310,Romancing the Stone (1984),Action|Adventure|Comedy|Romance
1,2470,5.0,964982588,Crocodile Dundee (1986),Adventure|Comedy
1,2502,5.0,964981278,Office Space (1999),Comedy|Crime
1,2529,5.0,964982242,Planet of the Apes (1968),Action|Drama|Sci-Fi
1,2542,5.0,964981265,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller
1,2571,5.0,964981888,"Matrix, The (1999)",Action|Sci-Fi|Thriller
1,2617,2.0,964982588,"Mummy, The (1999)",Action|Adventure|Comedy|Fantasy|Horror|Thriller
1,2628,4.0,964980523,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi
1,2640,4.0,964982377,Superman (1978),Action|Adventure|Sci-Fi
1,2657,3.0,964983426,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi
1,2692,5.0,964981855,Run Lola Run (Lola rennt) (1998),Action|Crime
1,2700,5.0,964980985,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical
1,2716,5.0,964983414,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi
